ID,long,lat,LOCALIDAD,MUNICIPIO,ntl
2181,-89.11846512992402,21.143320381390353,san antonio xiat,cansahcab,0.312709778547287
2182,-89.08992048650634,21.161183043574212,santa maria,cansahcab,1.5142072439193726
2183,-89.11795692902098,21.146002453994974,san antonio xiat,cansahcab,0.31188181042671204
2184,-89.11310630195875,21.15881640659614,santa maria,cansahcab,1.5675421953201294
2185,-89.15472332937046,20.441226399240552,cholul,cantamayec,0.9134175777435303
2186,-89.02057633616333,20.34389773462562,nenela,cantamayec,1.3924510478973389
2187,-89.016666381939,20.345000104775465,nenela,cantamayec,0.8145114183425903
2188,-88.51626676578773,21.087289072686264,tixbacab,cenotillo,0.2746680974960327
2189,-88.51215042281103,21.092293789280347,tixbacab,cenotillo,2.9199862480163574
2190,-88.51216584588929,21.09110890164925,tixbacab,cenotillo,2.9199862480163574
2191,-89.5063905665655,21.075501690673487,conkal,conkal,3.194973945617676
2192,-89.5285535,21.0833695,conkal,conkal,NA
2193,-89.5285535,21.0833695,conkal,conkal,NA
2194,-89.5285535,21.0833695,conkal,conkal,NA
2195,-89.4956447,21.0504923,x-cuyum,conkal,NA
2196,-88.29190602799778,20.64309484042758,cuncunul,cuncunul,1.464747667312622
2197,-88.33240519886503,20.661241588827753,x-akabchen,cuncunul,0.16258351504802704
2198,-88.41076314112948,20.54776823575453,chebalam,cuncunul,0.2486405074596405
2199,-88.32803097513738,20.667412624309488,san diego,cuncunul,1.187919020652771
2200,-88.33840902801344,20.635190487283737,x-akabchen,cuncunul,0.5667324066162109
2201,-89.32259501164684,20.716791087563177,chunkanan,cuzama,0.3288083076477051
2202,-89.37516065951195,20.76234425336637,eknakan,cuzama,0.8308933973312378
2203,-89.3072424699127,20.730165535727306,nohchakan,cuzama,0.30617374181747437
2204,-89.3675589,20.7615545,eknakan,cuzama,NA
2205,-89.31743991233415,20.730533829104992,nohchakan,cuzama,0.6373769640922546
2206,-89.36887894054773,20.764184861656883,eknakan,cuzama,2.182875871658325
2207,-89.01563247863666,20.175667771563923,chacsinkin,chacsinkin,8.48389720916748
2208,-89.00493790968505,20.203492496491815,x-box,chacsinkin,1.0040206909179687
2209,-89.01247426449807,20.16534014245656,x-box,chacsinkin,3.097081184387207
2210,-88.51312668186092,20.56978316106247,chankom,chankom,3.124840497970581
2211,-88.55851827286087,20.597485455720367,ticimul,chankom,0.4657267928123474
2212,-88.45995972923194,20.58867296203233,tzukmuc,chankom,0.49438631534576416
2213,-88.49773006663503,20.514689763910212,xanla,chankom,1.4209636449813843
2214,-88.5666945882395,20.443550338709418,xkalakdzonot,chankom,1.8391519784927368
2215,-88.55347457702061,20.601356619549403,x-cocail,chankom,2.0898244380950928
2216,-88.58503537091461,20.509251632827176,xkopteil,chankom,1.7720149755477905
2217,-88.55444140303496,20.597272631602742,xkatun,chankom,2.3649837970733643
2218,-88.46713095088148,20.50221652800896,muchucuxcah,chankom,0
2219,-88.56339584389038,20.57350694399338,nicte-ha,chankom,0.8745026588439941
2220,-88.56584498618139,20.566687104339355,ticimul,chankom,0.4274140000343323
2221,-88.45981341610194,20.59468373109229,tzukmuc,chankom,0.373761922121048
2222,-88.52208402031698,20.507551741293046,xanla,chankom,0.2869466245174408
2223,-88.51498254373223,20.575429781275368,x-bohom,chankom,0.3969608545303345
2224,-88.57055830397535,20.441647010637876,xkalakdzonot,chankom,2.0309364795684814
2225,-88.5528788936868,20.59184324570112,x-cocail,chankom,0.5952375531196594
2226,-88.58208933874127,20.522733447785757,xkopteil,chankom,0.33621346950531006
2227,-88.55403779974735,20.59564444198148,xkatun,chankom,2.3649837970733643
2228,-88.47472314570545,20.49756135423908,muchucuxcah,chankom,0
2229,-88.45834948870156,20.59191466034851,tzukmuc,chankom,0.8295344114303589
2230,-88.55633562298355,20.438321727328432,xkalakdzonot,chankom,0.203187495470047
2231,-88.58471149317198,20.51718923326531,xkopteil,chankom,2.346740484237671
2232,-88.48008954598487,20.490658502191575,muchucuxcah,chankom,0
